select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
        115 ,                        8 ,        Školská                   ,        SKO-CASOP    ,                446 ,        30.09.2025
        116 ,                        8 ,        Školská                   ,        SKO-BELDO    ,               3509 ,        30.09.2025
        117 ,                        8 ,        Školská                   ,        SKO-NAUDO    ,               4079 ,        30.09.2025
        118 ,                        8 ,        Školská                   ,        SKO-LITDE    ,               2285 ,        30.09.2025
        119 ,                        8 ,        Školská                   ,        SKO-LITML    ,                 11 ,        30.09.2025
        120 ,                        8 ,        Školská                   ,        SKO-POEML    ,                156 ,        30.09.2025
        121 ,                        8 ,        Školská                   ,        SKO-DIVML    ,                 45 ,        30.09.2025
        122 ,                        8 ,        Školská                   ,        SKO-HRAB     ,                237 ,        30.09.2025
        123 ,                        8 ,        Školská                   ,        SKO-CHFOND   ,                  0 ,        30.09.2025
        124 ,                        8 ,        Školská                   ,        SKO-VYLOHY   ,                 42 ,        30.09.2025
        125 ,                        8 ,        Školská                   ,        SKO-SKLAD    ,                  0 ,        30.09.2025
        126 ,                        8 ,        Školská                   ,        SKO-I1       ,                  0 ,        30.09.2025
        127 ,                        8 ,        Školská                   ,        SKO-I2       ,                  0 ,        30.09.2025
        128 ,                        8 ,        Školská                   ,        SKO-KANC     ,                  0 ,        30.09.2025
        362 ,                        8 ,        Školská                   ,        SKO-STU      ,                  0 ,        30.09.2025
        644 ,                        8 ,        Školská                   ,        SKO-NOT      ,                  0 ,        30.09.2025
        810 ,                        8 ,        Školská                   ,        SKO-MOF      ,                  0 ,        30.09.2025
