pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
27,MOD-CAS,Časopisy pro dospělé,90.0,0.0,666
27,MOD-CAS,Časopisy pro děti,30.0,0.0,666
27,MOD-CHF,Deskové hry,120.0,0.0,661
27,MOD-CHF,JK,30.0,0.0,661
27,MOD-DOPOR,Doporučujeme (dospělí),633.0,0.0,779
27,MOD-HRAB,Dnes vrácené knihy,181.0,0.0,624
27,MOD-KOM,Beletrie - dospělí,150.0,0.0,858
27,MOD-NAU,Naučná - dospělí,7272.0,0.0,662
27,MOD-NAUDE,Naučná - děti,1972.0,0.0,1254
27,MOD-POEDIV,Beletrie - dospělí,575.0,0.0,668
27,REZERVACE,Rezervace,271.0,0.0,
29,REZERVACE,Rezervace,731.0,0.0,
29,SAMOPRA,Opravuje se na pobočce,686.0,0.0,
29,SMI-AUDIO,AK,365.0,0.0,884
29,SMI-BELDE,Beletrie - děti,4674.0,0.0,392
29,SMI-BELDO,Beletrie - dospělí,14251.0,18.0,389
29,SMI-CASDE,Časopisy pro děti,61.0,0.0,394
29,SMI-CASDO,Časopisy pro dospělé,274.0,0.0,391
29,SMI-CD,CD,487.0,0.0,1148
29,SMI-CHFDE,Chráněný fond,61.0,0.0,399
29,SMI-CHFDO,Chráněný fond,61.0,0.0,398
29,SMI-CHRVOL,Příruční sklad,0.0,0.0,404
29,SMI-DOPOR,Deskové hry,426.0,0.0,807
29,SMI-DOPOR,Doporučujeme (dospělí),761.0,0.0,807
29,SMI-DOPORD,Doporučujeme dětem,365.0,0.0,808
29,SMI-GALDE,Beletrie - děti,1914.0,0.0,396
29,SMI-GALML,Beletrie - dospělí,1515.0,0.0,395
29,SMI-HRAB,Dnes vrácené knihy,548.0,0.0,387
29,SMI-JK,JK,365.0,0.0,1149
29,SMI-KOLOTO,Beletrie - děti,150.0,0.0,846
29,SMI-MAPY,None,61.0,0.0,883
29,SMI-NAUDE,Naučná - děti,4928.0,0.0,393
29,SMI-NAUDO,Naučná - dospělí,17476.0,0.0,390
30,CI3-CASDE,Časopisy pro děti,12.0,0.0,915
30,CI3-CASDO,Časopisy pro dospělé,42.0,0.0,1154
30,CI3-CHFDE,Chráněný fond,9.0,0.0,639
30,CI3-HRAB,Dnes vrácené knihy,104.0,0.0,637
30,CI3-LITDE,Beletrie - děti,850.0,0.0,638
30,CI3-LITDE,Naučná - děti,305.0,0.0,638
30,CI3-LITDO,Beletrie - dospělí,791.0,0.0,912
30,CI3-LITDO,Naučná - dospělí,256.0,0.0,912
30,CI3-VSMS,CD,26.0,0.0,828
30,CIB3-DOPOR,Deskové hry,26.0,0.0,768
30,REZERVACE,Rezervace,105.0,0.0,
31,CHU-BELDE,Beletrie - dospělí,130.0,0.0,592
31,CHU-BELDE,Beletrie - děti,1437.0,0.0,592
31,CHU-BELDO,Beletrie - dospělí,1444.0,0.0,593
31,CHU-BELDO,Beletrie - děti,31.0,0.0,593
31,CHU-CAS,Časopisy pro dospělé,90.0,0.0,594
31,CHU-CAS,Časopisy pro děti,15.0,0.0,594
31,CHU-CHF,Chráněný fond,14.0,0.0,590
31,CHU-DOPOR,Doporučujeme (dospělí),60.0,0.0,789
31,CHU-HRAB,Dnes vrácené knihy,120.0,0.0,570
31,CHU-NAU,Naučná - dospělí,853.0,0.0,591
31,CHU-NAUDE,Naučná - děti,673.0,0.0,1018
31,CHU-VSMS,CD,0.0,0.0,738
31,REZERVACE,Rezervace,120.0,0.0,
35,BRE-BELDO,Beletrie - dospělí,7380.0,0.0,145
35,BRE-CASDE,Časopisy pro děti,21.0,0.0,924
35,BRE-CD,CD,463.0,0.0,826
35,BRE-CITR,Časopisy pro dospělé,21.0,0.0,144
35,BRE-DOPOR,Beletrie - dospělí,605.0,0.0,796
35,BRE-DOPOR,Beletrie - děti,19.0,0.0,796
35,BRE-DOPOR,CD,125.0,0.0,796
35,BRE-DOPOR,Deskové hry,20.0,0.0,796
35,BRE-DOPOR,Naučná - dospělí,11.0,0.0,796
35,BRE-DOPOR,Naučná - děti,8.0,0.0,796
35,BRE-LITDE,Beletrie - dospělí,149.0,0.0,148
35,BRE-LITDE,Beletrie - děti,4399.0,0.0,148
35,BRE-LITDE,Naučná - děti,1217.0,0.0,148
35,BRE-NAUDO,JK,37.0,0.0,146
35,BRE-NAUDO,Naučná - dospělí,10202.0,254.0,146
35,BRE-POEZIE,Beletrie - dospělí,401.0,0.0,157
35,BRE-VITRINA,Naučná - dospělí,20.0,0.0,
35,BRE-VYLOHY,None,20.0,0.0,159
