lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
1001,DILNA-PULT,DILNA-PULT,1.0,Ústřední knihovna,0,2025-09-30,1,False
1032,AKVI,AKVI,1.0,Ústřední knihovna,0,2025-09-30,1,False
859,divirt,DIVIRT,1.0,Ústřední knihovna,0,2025-09-30,1,False
1156,SELF,SELF,1.0,Ústřední knihovna,0,2025-09-30,1,False
113,METO7,METO7,1.0,Ústřední knihovna,0,2025-09-30,1,False
611,nabízíme,NABÍZÍME,1.0,Ústřední knihovna,0,2025-09-30,1,False
154,pravnici,PRAVNICI,1.0,Ústřední knihovna,0,2025-09-30,1,False
80,mapy,MAPY,1.0,Ústřední knihovna,0,2025-09-30,1,False
97,PUJCP,PUJCP,1.0,Ústřední knihovna,0,2025-09-30,1,False
643,NOTEBOOK,NOTEBOOK,1.0,Ústřední knihovna,0,2025-09-30,1,False
86,POKUK,POKUK,1.0,Ústřední knihovna,0,2025-09-30,1,False
508,MELANTRICH,MELANTRICH,1.0,Ústřední knihovna,0,2025-09-30,1,False
442,AUTOSER,AUTOSER,1.0,Ústřední knihovna,0,2025-09-30,1,False
339,MRTVYSKLAD,MRTVYSKLAD,1.0,Ústřední knihovna,0,2025-09-30,1,False
1161,SKO-SELF,SKO-SELF,8.0,Školská,0,2025-09-30,8,False
644,SKO-NOT,SKO-NOT,8.0,Školská,0,2025-09-30,8,False
128,SKO-KANC,SKO-KANC,8.0,Školská,0,2025-09-30,8,False
362,SKO-STU,SKO-STU,8.0,Školská,0,2025-09-30,8,False
127,SKO-I2,SKO-I2,8.0,Školská,0,2025-09-30,8,False
810,SKO-MOF,SKO-MOF,8.0,Školská,0,2025-09-30,8,False
126,SKO-I1,SKO-I1,8.0,Školská,0,2025-09-30,8,False
123,SKO-CHFOND,SKO-CHFOND,8.0,Školská,0,2025-09-30,8,False
125,SKO-SKLAD,SKO-SKLAD,8.0,Školská,0,2025-09-30,8,False
1164,HUS-SELF,HUS-SELF,15.0,Žižkov,0,2025-09-30,15,False
313,HUS-VITRIN,HUS-VITRIN,15.0,Žižkov,0,2025-09-30,15,False
288,HUS-KANC,HUS-KANC,15.0,Žižkov,0,2025-09-30,15,False
318,HUS-INF,HUS-INF,15.0,Žižkov,0,2025-09-30,15,False
290,HUS-CHFOND,HUS-CHFOND,15.0,Žižkov,0,2025-09-30,15,False
357,ZASOBA,ZASOBA,,,4380,2025-09-30,,False
709,ROZCIZ,ROZCIZ,,,16,2025-09-30,,False
455,DOKNIHARU,DOKNIHARU,,,1574,2025-09-30,,False
456,SAMOPRA,SAMOPRA,,,12905,2025-09-30,,False
881,DOVZDAL,DOVZDAL,,,196,2025-09-30,,False
880,PRIPVZDAL,PRIPVZDAL,,,77,2025-09-30,,False
879,ZEVZDAL,ZEVZDAL,,,21,2025-09-30,,False
98,NEZNAMA,NEZNAMA,,,95,2025-09-30,,False
645,DIGI,DIGI,,,1017,2025-09-30,,False
155,EXPEDICE,EXPEDICE,,,700,2025-09-30,,False
868,PRIRUCKA,PRIRUCKA,,,269,2025-09-30,,False
723,TRANSPORT,TRANSPORT,,,10,2025-09-30,,False
819,ALOK,ALOK,,,4599,2025-09-30,,False
1034,REKATHUD,REKATHUD,,,310,2025-09-30,,False
1248,PRESUN,PRESUN,,,3607,2025-09-30,,False
831,DOMOFU,DOMOFU,,,6036,2025-09-30,,False
839,NEMOF,NEMOF,,,2,2025-09-30,,False
341,NAVRH,NAVRH,,,35424,2025-09-30,,False
968,ZAVRENO,ZAVRENO,,,18611,2025-09-30,,False
849,ODOP,ODOP,,,33351,2025-09-30,,False
105,KNIHARI,KNIHARI,,,46799,2025-09-30,,False
337,VYRAZENI,VYRAZENI,,,7,2025-09-30,,False
848,REALOKACE,REALOKACE,,,3164,2025-09-30,,False
460,BAR-POK,BAR-POK,62.0,Barrandov,8,2025-09-30,62,False
887,BAR-CASDE,BAR-CASDE,62.0,Barrandov,15,2025-09-30,62,False
