lokace_id,oznaceni,typ
515,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
515,MILENCI - pro ženy,Beletrie - dospělí
515,PISTOLE - detektivky,Beletrie - dospělí
517,E.T. - sci-fi,Beletrie - dospělí
517,MÁG - fantasy,Beletrie - dospělí
1037,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
663,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
663,J6-J14,Beletrie - dospělí
668,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
668,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
238,A - BELETRIE VŠEOBECNĚ.,Beletrie - dospělí
238,LEBKA - horory,Beletrie - dospělí
238,PISTOLE - detektivky,Beletrie - dospělí
238,E.T. - sci-fi,Beletrie - dospělí
238,MÁG - fantasy,Beletrie - dospělí
963,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
273,A - BELETRIE VŠEOBECNĚ.,Beletrie - dospělí
273,MILENCI - pro ženy,Beletrie - dospělí
273,PISTOLE - detektivky,Beletrie - dospělí
273,MÁG - fantasy,Beletrie - dospělí
273,E.T. - sci-fi,Beletrie - dospělí
273,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
273,J6-J14,Beletrie - dospělí
367,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
653,E.T. - sci-fi,Beletrie - dospělí
653,MÁG - fantasy,Beletrie - dospělí
499,A - BELETRIE VŠEOBECNĚ.,Beletrie - dospělí
324,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
324,LEBKA - horory,Beletrie - dospělí
324,E.T. - sci-fi,Beletrie - dospělí
324,MÁG - fantasy,Beletrie - dospělí
324,ÚSMĚV - humoristická,Beletrie - dospělí
324,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - dospělí
544,PISTOLE - detektivky,Beletrie - dospělí
544,LEBKA - horory,Beletrie - dospělí
544,MILENCI - pro ženy,Beletrie - dospělí
544,DÍVKA - dívčí četba,Beletrie - dospělí
116,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
592,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
592,DÍVKA - dívčí četba,Beletrie - dospělí
593,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
593,PISTOLE - detektivky,Beletrie - dospělí
593,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
593,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
