lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,OCH,kapacita_fyzicka,kapacita_realokace,kapacita_effective,stav_fondu_och
1216,MLY-LEPOR,Velký mlýn,11,Severovýchod,True,Beletrie - děti,100.0,,,0.0
897,HUS-CASDE,Žižkov,15,Středozápad,False,Časopisy pro děti,32.0,,32.0,0.0
896,HUS-CASDO,Žižkov,15,Středozápad,False,Beletrie - dospělí,53.0,,53.0,0.0
995,KOR-MAPY,Korunní,18,Jihovýchod,False,None,60.0,,60.0,2.0
1085,HOS-KOMDE,Hostivař,21,Jihovýchod,True,Beletrie - děti,115.0,,,3.0
1115,JEZ-ROD,Jezerka,24,Jih,True,Naučná - dospělí,122.0,,,0.0
1114,JEZ-TEENS,Jezerka,24,Jih,True,Beletrie - děti,731.0,,,0.0
1114,JEZ-TEENS,Jezerka,24,Jih,True,Naučná - děti,91.0,,,0.0
807,SMI-DOPOR,Smíchov,29,Jihozápad,False,Deskové hry,426.0,,426.0,0.0
912,CI3-LITDO,Cibulka,30,Jihozápad,True,Beletrie - dospělí,791.0,,,0.0
1153,DED-DOPOR,Dědina,37,Středozápad,False,Beletrie - dospělí,178.0,,178.0,0.0
751,DEJ-DOPOR2,Dejvice,38,Středozápad,False,None,40.0,,40.0,0.0
1127,LET-LITDE,Letná,39,Severovýchod,True,Beletrie - děti,1600.0,,,0.0
1127,LET-LITDE,Letná,39,Severovýchod,True,Doporučujeme dětem,149.0,,,0.0
1127,LET-LITDE,Letná,39,Severovýchod,True,Naučná - děti,965.0,,,0.0
1023,NVE-KOMDE,Pankrác,43,Jih,True,Beletrie - dospělí,50.0,,,0.0
500,NVE-LITDE,Pankrác,43,Jih,True,Beletrie - děti,2823.0,,,0.0
500,NVE-LITDE,Pankrác,43,Jih,True,Naučná - děti,1540.0,,,0.0
434,SPO-NAUDO,Spořilov,45,Jih,True,Naučná - dospělí,6484.0,,,0.0
782,OSV-DOPORD,Ostrovského,48,Jihozápad,False,Doporučujeme dětem,160.0,,160.0,0.0
733,DIT-VSMS,Dittrichova,51,Středozápad,False,CD,18.0,,18.0,0.0
948,RUS-OST1,Dům čtení,56,Jihovýchod,False,None,336.0,,336.0,0.0
721,OPA-ARTSKL,Opatov,58,Jih,False,Naučná - dospělí,6400.0,,6400.0,0.0
882,OPA-KOMIKS,Opatov,58,Jih,True,Beletrie - dospělí,605.0,,,0.0
850,OPA-LITLEP,Opatov,58,Jih,True,Beletrie - děti,100.0,,,0.0
1287,KRC-RODIC,Krč,60,Jih,False,Beletrie - dospělí,57.0,,57.0,0.0
1043,MAL-DOPDO,Malešice,61,Jihovýchod,False,Doporučujeme (dospělí),160.0,,160.0,0.0
352,ZAH-BELDO,Záhřebská,65,Středozápad,True,Beletrie - dospělí,2408.0,,,0.0
346,ZAH-CHFDE,Záhřebská,65,Středozápad,False,Deskové hry,20.0,,20.0,0.0
987,CHM-KOMDE,Vozovna,66,Středozápad,True,Beletrie - děti,125.0,,,0.0
545,SKA-NAUDO,Skalka,70,Jihovýchod,True,Naučná - dospělí,3949.0,,,71.0
1086,LUZ-DELEP,Lužiny,81,Jihozápad,True,Beletrie - děti,100.0,,,0.0
777,LUZ-DOPOR,Lužiny,81,Jihozápad,False,Doporučujeme (dospělí),1827.0,,1827.0,0.0
617,STO-BELDE,Stodůlky,84,Jihozápad,True,Beletrie - děti,2967.0,,,0.0
582,STO-HRAB,Stodůlky,84,Jihozápad,False,Dnes vrácené knihy,336.0,,336.0,0.0
769,RAJ-DOPOR,Rajská zahrada,87,Severovýchod,False,CD,22.0,,22.0,0.0
1061,RAJ-MLSLDE,Rajská zahrada,87,Severovýchod,False,CD,0.0,,0.0,0.0
513,DAB-LITDE,Ládví,88,Severovýchod,True,Deskové hry,60.0,,,0.0
251,JIR-NAUDO,Chodov,89,Jih,True,Naučná - dospělí,6526.0,,,0.0
1067,JEN-DEPJST,Vzdálený sklad 8,92,Sklad,True,Beletrie - dospělí,547140.0,,547140.0,0.0
25,audio,Ústřední knihovna,1,Ústřední knihovna,False,Sklad,10500.0,,10500.0,0.0
134,DIVPRI,Ústřední knihovna,1,Ústřední knihovna,False,Chráněný fond,2081.0,,2081.0,0.0
1136,mládež-kom,Ústřední knihovna,1,Ústřední knihovna,True,Komiksy - knihy na galerii pro mládež,654.0,,,0.0
672,HRA-BELDO,Hradčany,3,Středozápad,True,Beletrie - dospělí,1412.0,,,0.0
366,OST-NAUDO,Ostrčilovo nám.,4,Středozápad,True,Naučná - dospělí,2412.0,,,6.0
412,HOL-BELDO,Sedmička,5,Severovýchod,True,Doporučujeme (dospělí),25.0,,,0.0
414,HOL-CASDO,Sedmička,5,Severovýchod,False,Časopisy pro dospělé,126.0,,126.0,0.0
411,HOL-HRAB,Sedmička,5,Severovýchod,False,Dnes vrácené knihy,189.0,,189.0,0.0
120,SKO-POEML,Školská,8,Středozápad,True,Beletrie - dospělí,178.0,,,0.0
936,VYS-CASDO,Vysočany,10,Severovýchod,False,Časopisy pro dospělé,35.0,,35.0,0.0
449,VYS-PRSKDE,Vysočany,10,Severovýchod,True,Příruční sklad,1074.0,,,0.0
1212,MLY-LITDE,Velký mlýn,11,Severovýchod,True,Beletrie - děti,1129.0,,,0.0
1212,MLY-LITDE,Velký mlýn,11,Severovýchod,True,Naučná - děti,542.0,,,0.0
589,HLO-PRSK,Hloubětín,13,Severovýchod,False,Příruční sklad,154.0,,154.0,0.0
311,HUS-NAUC,Žižkov,15,Středozápad,True,JK,16.0,,,0.0
1103,JEZ-HRY,Jezerka,24,Jih,False,None,198.0,,198.0,0.0
1116,JEZ-ZIVOT,Jezerka,24,Jih,True,Beletrie - dospělí,97.0,,,0.0
957,VIK-KOMDE,Vikova,25,Jih,True,Beletrie - dospělí,15.0,,,0.0
399,SMI-CHFDE,Smíchov,29,Jihozápad,False,Chráněný fond,61.0,,61.0,0.0
396,SMI-GALDE,Smíchov,29,Jihozápad,True,Beletrie - děti,1914.0,,,0.0
638,CI3-LITDE,Cibulka,30,Jihozápad,True,Beletrie - děti,850.0,,,0.0
638,CI3-LITDE,Cibulka,30,Jihozápad,True,Naučná - děti,305.0,,,0.0
768,CIB3-DOPOR,Cibulka,30,Jihozápad,False,Deskové hry,26.0,,26.0,0.0
507,NVE-CHFDE,Pankrác,43,Jih,True,CD,60.0,,,0.0
504,NVE-HRAB,Pankrác,43,Jih,False,Dnes vrácené knihy,166.0,,166.0,0.0
1259,OSV-KOMDE,Ostrovského,48,Jihozápad,True,Beletrie - děti,105.0,,,0.0
207,DIT-BELDO,Dittrichova,51,Středozápad,True,Beletrie - dospělí,3490.0,,,9.0
806,DIT-DOPOR,Dittrichova,51,Středozápad,False,Beletrie - dospělí,51.0,,51.0,0.0
218,BOH-BELDO,Bohnice,52,Severovýchod,True,Beletrie - dospělí,13841.0,,,0.0
232,BOH-CHFI1,Bohnice,52,Severovýchod,False,Chráněný fond,301.0,,301.0,0.0
221,BOH-NAUDO,Bohnice,52,Severovýchod,True,Naučná - dospělí,16066.0,,,0.0
