lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,stav_fondu_celkem,kapacita_celkem,kapacita_fyzicka_sum,kapacita_realokace_sum,volna_kapacita,naplnenost_pct,rozdil,pretizena,rizikova
1009,OPA-CD,Opatov,58,Jih,False,450,130.0,130.0,,-320.0,346.1538461538462,320.0,True,True
731,DAB-VSMS,Ládví,88,Severovýchod,False,27,25.0,25.0,,-2.0,108.0,2.0,True,True
1052,LET-CASDE,Letná,39,Severovýchod,False,16,9.0,9.0,,-7.0,177.77777777777777,7.0,True,True
394,SMI-CASDE,Smíchov,29,Jihozápad,False,34,61.0,61.0,,27.0,55.73770491803278,-27.0,False,False
776,KRC-DOPOR,Krč,60,Jih,False,221,454.0,454.0,,233.0,48.6784140969163,-233.0,False,False
1107,JEZ-DOPOR,Jezerka,24,Jih,False,241,305.0,305.0,,64.0,79.01639344262294,-64.0,False,False
1199,RAJ-SELF,Rajská zahrada,87,Severovýchod,False,0,,,,,,,,
508,MELANTRICH,Ústřední knihovna,1,Ústřední knihovna,False,0,,,,,,,,
581,DED-POK,Dědina,37,Středozápad,False,17,,,,,,,,
1033,OPA-LEPSKL,Opatov,58,Jih,False,3,,,,,,,,
467,NVE-POK,Pankrác,43,Jih,False,12,,,,,,,,
92,HUPULT,Ústřední knihovna,1,Ústřední knihovna,False,603,,,,,,,,
1183,OSV-SELF,Ostrovského,48,Jihozápad,False,0,,,,,,,,
741,MOD-VSMS,Modřany,27,Jih,False,32,,,,,,,,
128,SKO-KANC,Školská,8,Středozápad,False,0,,,,,,,,
125,SKO-SKLAD,Školská,8,Středozápad,False,0,,,,,,,,
817,PREDSALI,Ústřední knihovna,1,Ústřední knihovna,False,5,,,,,,,,
1188,RUS-SELF,Dům čtení,56,Jihovýchod,False,0,,,,,,,,
320,PRO-PRIZ,Prosek,54,Severovýchod,False,26,,,,,,,,
996,BB4-PULT,Krabice,99,,False,2,,,,,,,,
571,MAL-POK,Malešice,61,Jihovýchod,False,14,,,,,,,,
706,ZME-POK,Zahradní Město,47,Jihovýchod,False,27,,,,,,,,
965,NOV-REZ,Novodvorská,41,Jih,False,2,,,,,,,,
783,5KV-DOPOR,(zrušeno) Pankrác,43,Jih,False,0,,,,,,,,
1269,DBK-HRAB,Kiosek DBK,82,,False,610,,,,,,,,
1157,HRA-SELF,Hradčany,3,Středozápad,False,0,,,,,,,,
820,OST-OBVOD,Ostrčilovo nám.,4,Středozápad,False,0,,,,,,,,
535,CHM-HRAB,Vozovna,66,Středozápad,False,158,,,,,,,,
968,ZAVRENO,,,,False,18611,,,,,,,,
1186,PRO-SELFPR,Prosek,54,Severovýchod,False,0,,,,,,,,
645,DIGI,,,,False,1017,,,,,,,,
460,BAR-POK,Barrandov,62,Jihozápad,False,8,,,,,,,,
998,BB4-NAUBE,Krabice,99,,False,8,,,,,,,,
451,VYS-VYLOHY,Vysočany,10,Severovýchod,False,23,,,,,,,,
1248,PRESUN,,,,False,3607,,,,,,,,
1147,STO-LEPOR,Stodůlky,84,Jihozápad,True,30,100.0,100.0,100.0,70.0,30.0,-70.0,False,False
618,STO-NAUDE,Stodůlky,84,Jihozápad,True,870,965.0,1614.0,965.0,95.0,90.15544041450777,-95.0,False,True
513,DAB-LITDE,Ládví,88,Severovýchod,True,4143,4225.0,6301.0,4225.0,82.0,98.05917159763314,-82.0,False,True
863,JEN-PV,Vzdálený sklad 2,92,Sklad,True,13760,2158.0,2158.0,0.0,-11602.0,637.6274328081557,11602.0,True,True
610,poezie,Ústřední knihovna,1,Ústřední knihovna,True,2299,1600.0,1684.0,1600.0,-699.0,143.6875,699.0,True,True
