pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
11,MLY-LITDO,D,50.0,1211
11,MLY-LITDO,E,70.0,1211
11,MLY-LITDO,G,85.0,1211
11,MLY-LITDO,J,90.0,1211
11,MLY-LITDO,K,65.0,1211
11,MLY-LITDO,L,75.0,1211
11,MLY-LITDO,N,40.0,1211
11,MLY-LITDO,O,10.0,1211
11,MLY-LITDO,P,75.0,1211
11,MLY-LITDO,R,30.0,1211
11,MLY-LITDO,S,50.0,1211
11,MLY-LITDO,T,40.0,1211
11,MLY-LITDO,W,20.0,1211
11,MLY-LITDO,X,25.0,1211
11,MLY-LITDO,Y,35.0,1211
11,MLY-LITDO,Z,45.0,1211
11,MLY-LITDO,,640.0,1211
13,HLO-KOMDE,,90.0,1120
13,HLO-KOMDO,,120.0,1119
13,HLO-LITDE,A1,15.0,586
13,HLO-LITDE,A2,140.0,586
13,HLO-LITDE,A3,300.0,586
13,HLO-LITDE,A4,310.0,586
13,HLO-LITDE,B2,5.0,586
13,HLO-LITDE,C,27.0,586
13,HLO-LITDE,D,52.0,586
13,HLO-LITDE,E,21.0,586
13,HLO-LITDE,K,75.0,586
13,HLO-LITDE,L,28.0,586
13,HLO-LITDE,N,25.0,586
13,HLO-LITDE,P,16.0,586
13,HLO-LITDE,S,16.0,586
13,HLO-LITDE,U,15.0,586
13,HLO-LITDE,V,18.0,586
13,HLO-LITDE,Y,25.0,586
13,HLO-LITDE,Z,17.0,586
13,HLO-LITDE,,235.0,586
13,HLO-LITDO,A1,1061.0,1121
13,HLO-LITDO,B1,30.0,1121
13,HLO-LITDO,B2,70.0,1121
13,HLO-LITDO,C,130.0,1121
13,HLO-LITDO,D,130.0,1121
13,HLO-LITDO,E,60.0,1121
13,HLO-LITDO,G,100.0,1121
13,HLO-LITDO,J4,70.0,1121
13,HLO-LITDO,K,55.0,1121
13,HLO-LITDO,L,140.0,1121
13,HLO-LITDO,N,65.0,1121
13,HLO-LITDO,O,15.0,1121
13,HLO-LITDO,P,125.0,1121
13,HLO-LITDO,R,30.0,1121
13,HLO-LITDO,S,40.0,1121
13,HLO-LITDO,T,15.0,1121
13,HLO-LITDO,V,15.0,1121
13,HLO-LITDO,W,45.0,1121
