lokace_id,datum,OCH,stav_fondu
269,2025-09-30,,34.0
1033,2025-09-30,,3.0
274,2025-09-30,,15535.0
1021,2025-09-30,,511.0
267,2025-09-30,,1950.0
1138,2025-09-30,,155.0
850,2025-09-30,,88.0
809,2025-09-30,,97.0
693,2025-09-30,,50.0
961,2025-09-30,,215.0
917,2025-09-30,,59.0
1258,2025-09-30,,213.0
916,2025-09-30,,206.0
761,2025-09-30,,48.0
1260,2025-09-30,,68.0
655,2025-09-30,,2524.0
781,2025-09-30,,176.0
654,2025-09-30,,1754.0
573,2025-09-30,,20.0
629,2025-09-30,,34.0
782,2025-09-30,,71.0
653,2025-09-30,,2110.0
1259,2025-09-30,,53.0
370,2025-09-30,,1762.0
805,2025-09-30,,82.0
366,2025-09-30,,1911.0
893,2025-09-30,,164.0
365,2025-09-30,,1.0
892,2025-09-30,,44.0
371,2025-09-30,,15.0
891,2025-09-30,,187.0
368,2025-09-30,,115.0
762,2025-09-30,,15.0
367,2025-09-30,,3941.0
1250,2025-09-30,,119.0
467,2025-09-30,,12.0
499,2025-09-30,,4289.0
504,2025-09-30,,18.0
844,2025-09-30,,160.0
500,2025-09-30,,2640.0
784,2025-09-30,,12.0
843,2025-09-30,,59.0
1023,2025-09-30,,105.0
907,2025-09-30,,264.0
906,2025-09-30,,125.0
507,2025-09-30,,387.0
1237,2025-09-30,,66.0
1242,2025-09-30,,416.0
1238,2025-09-30,,40.0
1231,2025-09-30,,58.0
1240,2025-09-30,,1211.0
1226,2025-09-30,,43.0
1241,2025-09-30,,3780.0
1239,2025-09-30,,221.0
1235,2025-09-30,,93.0
1232,2025-09-30,,184.0
1236,2025-09-30,,4086.0
478,2025-09-30,,267.0
477,2025-09-30,,18.0
1233,2025-09-30,,1453.0
1230,2025-09-30,,87.0
1229,2025-09-30,,75.0
1228,2025-09-30,,7.0
1234,2025-09-30,,17.0
1227,2025-09-30,,277.0
787,2025-09-30,,245.0
328,2025-09-30,,1224.0
327,2025-09-30,,3409.0
322,2025-09-30,,24.0
325,2025-09-30,,4678.0
320,2025-09-30,,26.0
321,2025-09-30,,6.0
331,2025-09-30,,605.0
786,2025-09-30,,798.0
324,2025-09-30,,5396.0
981,2025-09-30,,214.0
982,2025-09-30,,394.0
329,2025-09-30,,34.0
333,2025-09-30,,218.0
334,2025-09-30,,18.0
323,2025-09-30,,33.0
332,2025-09-30,,1188.0
326,2025-09-30,,264.0
976,2025-09-30,,1723.0
473,2025-09-30,,5571.0
769,2025-09-30,,146.0
1060,2025-09-30,,195.0
1061,2025-09-30,,167.0
471,2025-09-30,,17.0
1062,2025-09-30,,485.0
1059,2025-09-30,,84.0
943,2025-09-30,,125.0
474,2025-09-30,,1813.0
1132,2025-09-30,,301.0
942,2025-09-30,,160.0
1058,2025-09-30,,5128.0
402,2025-09-30,,6081.0
857,2025-09-30,,891.0
412,2025-09-30,,4168.0
856,2025-09-30,,188.0
854,2025-09-30,,366.0
923,2025-09-30,,284.0
414,2025-09-30,,406.0
410,2025-09-30,,8.0
1082,2025-09-30,,254.0
411,2025-09-30,,53.0
413,2025-09-30,,3278.0
415,2025-09-30,,3451.0
420,2025-09-30,,1.0
1081,2025-09-30,,149.0
951,2025-09-30,,289.0
743,2025-09-30,,84.0
1150,2025-09-30,,198.0
792,2025-09-30,,206.0
952,2025-09-30,,134.0
545,2025-09-30,,3569.0
544,2025-09-30,,3886.0
543,2025-09-30,,2675.0
